# vi:set ts=8 sts=8 sw=8 tw=0:
#
# roma2hira.dat - ローマ字→平仮名変換表
# 改変版 なんちゃってazik
# Last Change: 29-apr-2019.

# こいつをカスタマイズすることでローマ字の入力方式が変わります。
# 現在はMS-IME2000を参考に決定しています。
# 漢字コードの違いを吸収する役割も果たします。
# xnとxtuには「ん」と「っ」を指定する役割があります。
# {from} {to}の形式です。
# 現在は{from}は最大7バイトまで{to}は6バイトまでとなっています。
# {from}と{to}の間は空白文字(isspace())で区切ります。

a	あ
i	い
u	う
e	え
o	お

ka	か
ki	き
ku	く
ke	け
ko	こ

sa	さ
si	し
su	す
se	せ
so	そ

ta	た
ti	ち
tu	つ
te	て
to	と

na	な
ni	に
nu	ぬ
ne	ね
no	の

ha	は
hi	ひ
hu	ふ
he	へ
ho	ほ

ma	ま
mi	み
mu	む
me	め
mo	も

ya	や
yi	い
yu	ゆ
ye	いぇ
yo	よ

ra	ら
ri	り
ru	る
re	れ
ro	ろ

wa	わ
wi	ゐ
wu	う
we	ゑ
wo	を


ga	が
gi	ぎ
gu	ぐ
ge	げ
go	ご

za	ざ
zi	じ
zu	ず
ze	ぜ
zo	ぞ

da	だ
di	ぢ
du	づ
de	で
do	ど

ba	ば
bi	び
bu	ぶ
be	べ
bo	ぼ

pa	ぱ
pi	ぴ
pu	ぷ
pe	ぺ
po	ぽ


la	ぁ
li	ぃ
lu	ぅ
le	ぇ
lo	ぉ

lya	ゃ
lyi	ぃ
lyu	ゅ
lye	ぇ
lyo	ょ

xa	ぁ
xi	ぃ
xu	ぅ
xe	ぇ
xo	ぉ

xya	ゃ
xyi	ぃ
xyu	ゅ
xye	ぇ
xyo	ょ

kya	きゃ
kyi	きぃ
kyu	きゅ
kye	きぇ
kyo	きょ

gwa	ぐぁ
gwi	ぐぃ
gwu	ぐぅ
gwe	ぐぇ
gwo	ぐぉ

gya	ぎゃ
gyi	ぎぃ
gyu	ぎゅ
gye	ぎぇ
gyo	ぎょ

sha	しゃ
shi	し
shu	しゅ
she	しぇ
sho	しょ

swa	すぁ
swi	すぃ
swu	すぅ
swe	すぇ
swo	すぉ

sya	しゃ
syi	しぃ
syu	しゅ
sye	しぇ
syo	しょ

tha	てゃ
thi	てぃ
thu	てゅ
the	てぇ
tho	てょ

tsa	つぁ
tsi	つぃ
tsu	つ
tse	つぇ
tso	つぉ

twa	とぁ
twi	とぃ
twu	とぅ
twe	とぇ
two	とぉ

tya	ちゃ
tyi	ちぃ
tyu	ちゅ
tye	ちぇ
tyo	ちょ


dha	でゃ
dhi	でぃ
dhu	でゅ
dhe	でぇ
dho	でょ


nya	にゃ
nyi	にぃ
nyu	にゅ
nye	にぇ
nyo	にょ

hya	ひゃ
hyi	ひぃ
hyu	ひゅ
hye	ひぇ
hyo	ひょ

bya	びゃ
byi	びぃ
byu	びゅ
bye	びぇ
byo	びょ

pya	ぴゃ
pyi	ぴぃ
pyu	ぴゅ
pye	ぴぇ
pyo	ぴょ

mya	みゃ
myi	みぃ
myu	みゅ
mye	みぇ
myo	みょ

rya	りゃ
ryi	りぃ
ryu	りゅ
rye	りぇ
ryo	りょ


ca	か
ci	し
cu	く
ce	せ
co	こ

cha	ちゃ
chi	ち
chu	ちゅ
che	ちぇ
cho	ちょ

fa	ふぁ
fi	ふぃ
fu	ふ
fe	ふぇ
fo	ふぉ

fya	ふゃ
fyi	ふぃ
fyu	ふゅ
fye	ふぇ
fyo	ふょ

ja	じゃ
ji	じ
ju	じゅ
je	じぇ
jo	じょ

jya	じゃ
jyi	じぃ
jyu	じゅ
jye	じぇ
jyo	じょ

qa	くぁ
qi	くぃ
qu	く
qe	くぇ
qo	くぉ

qya	くゃ
qyi	くぃ
qyu	くゅ
qye	くぇ
qyo	くょ

va	ヴぁ
vi	ヴぃ
vu	ヴ
ve	ヴぇ
vo	ヴぉ

vya	ヴゃ
vyi	ヴぃ
vyu	ヴゅ
vye	ヴぇ
vyo	ヴょ

nn	ん
xn	ん
ltu	っ
xtu	っ
lwa	ゎ
xwa	ゎ
lka	ヵ
xka	ヵ
lke	ヶ
xke	ヶ
kwa	くぁ

-	ー
~	～
#,	、
#.	。
#[	「
#]	」


mba	んば
mbi	んび
mbu	んぶ
mbe	んべ
mbo	んぼ

mpa	んぱ
mpi	んぴ
mpu	んぷ
mpe	んぺ
mpo	んぽ

mma	んま
mmi	んみ
mmu	んむ
mme	んめ
mmo	んも

tcha	っちゃ
tchi	っち
tchu	っちゅ
tche	っちぇ
tcho	っちょ

kz		かん
sz		さん
tz		たん
nz		なん
hz		はん
fz		ふぁん
mz		まん
yz		やん
rz		らん
wz		わん
kk		きん
sk		しん
tk		ちん
nk		にん
hk		ひん
fk		ふぃん
mk		みん
rk		りん
wk		うぃん
kj		くん
sj		すん
tj		つん
nj		ぬん
hj		ふん
fj		ふん
mj		むん
yj		ゆん
rj		るん
kd		けん
sd		せん
td		てん
nd		ねん
hd		へん
fd		ふぇん
md		めん
rd		れん
wd		うぇん
kl		こん
sl		そん
tl		とん
nl		のん
hl		ほん
fl		ふぉん
ml		もん
yl		よん
rl		ろん
wl		うぉん
gz		がん
zz		ざん
jz		じゃん
dz		だん
bz		ばん
pz		ぱん
gk		ぎん
zk		じん
jk		じん
dk		ぢん
bk		びん
pk		ぴん
gj		ぐん
zj		ずん
jj		じゅん
dj		づん
bj		ぶん
pj		ぷん
gd		げん
zd		ぜん
jd		じぇん
dd		でん
bd		べん
pd		ぺん
gl		ごん
zl		ぞん
jl		じょん
dl		どん
bl		ぼん
pl		ぽん
thk		てぃん
kyz		きゃん
shz		しゃん
syz		しゃん
chz		ちゃん
tyz		ちゃん
nyz		にゃん
hyz		ひゃん
myz		みゃん
ryz		りゃん
kyj		きゅん
shj		しゅん
syj		しゅん
chj		ちゅん
tyj		ちゅん
jyj		にゅん
hyj		ひゅん
myj		みゅん
ryj		りゅん
kyd		きぇん
shd		しぇん
syd		しぇん
chd		ちぇん
tyd		ちぇん
nyd		にぇん
hyd		ひぇん
myd		みぇん
ryd		りぇん
kyl		きょん
shl		しょん
syl		しょん
chl		ちょん
tyl		ちょん
nyl		にょん
hyl		ひょん
myl		みょん
ryl		りょん
gyz		ぎゃん
zyz		じゃん
byz		びゃん
pyz		ぴゃん
gyj		ぎゅん
zyj		じゅん
byj		びゅん
pyj		ぴゅん
gyd		ぎぇん
zyd		じぇん
byd		びぇん
pyd		ぴぇん
gyl		ぎょん
zyl		じょん
byl		びょん
pyl		ぴょん
